Menge,Sachnummer,Lageplatz
6,A297 720 3100,B03-190A01
60,A223 720 4100,B03-640B01
80,A297 720 1200,B03-641C02
32,A223 811 3000,B03-680C03
13,A223 690 6603,B03-690C01
13,A223 690 6703,B04-630C01
13,A223 690 6903,B04-640C01
13,A223 690 6303,B04-680C01
13,A223 690 6503,B04-690A01
32,A223 811 2900 ,B04-700B01
200,A223 830 1602,B05-120A01
90,A223 505 4000,B05-210A01
30,A223 524 1300,B05-680A01
100,A223 540 4671,B05-760B02
90,A223 420 1800,B05-780B01
4,A223 540 9240,B05-780C02
21,A297 505 1800,B05-800A03
100,A223 540 4771,B05-800B01
12,A000 500 6500,B05-830B02
40,A223 430 7000,B05-850C01
10,A297 682 4600,D43-050B01
10,A297 682 4700,D43-070B01
24,A223 680 0201,D44-050C03
12,A223 860 3600,D44-060C01
12,A297 810 0802,D44-110C02
33,A223 900 2436,D51-150C01
360,A223 682 9302,D14-005A01
86,A223 682 0701,D14-040B02
35,A297 692 3900,D31-010C03
19,A223 692 2700,D33-020B03
12,A223 860 3500,D35-010A03
70,A297 682 6200,D38-030A01
96,A223 751 0000,D41-080A01
14,A214 750 3200,D42-070C03
50,A223 830 5701,A01-083B03
55,A296 501 1100,A01-085B01
50,A297 694 1100 9051,A01-090B01
75,A000 905 1520,A01-120C02
48,A223 860 0800,A01-125B01
30,A223 501 5101,A01-125B04
180,A297 694 0700 1D03,A01-130C01
24,A223 320 8604,A01-630A01
32,A000 900 0849,A02-010C03
120,A223 830 6301,A02-020C02
80,A223 470 7201,A02-030B04
60,A223 501 6703,A02-040B03
50,A297 694 1200 8T92,A02-050A02
30,A254 610 5703,A02-050B01
96,A000 906 0508 1D03,A02-050C04
100,A223 430 6800,A02-100A03
32,A000 900 0845,A02-110C01
72,A256 090 2800,A02-260A01
75,A297 880 2300,A02-860A01
28,A000 900 6647,A03-010B02
32,A000 900 0845,A03-010C03
32,A000 900 0849,A03-080A01
15,A297 919 1100 1D03,A03-085A01
208,A000 905 5912,A04-015B02
80,A294 501 4900,A06-020B01
30,A223 540 9815,A06-020C02
40,A223 528 0000,A06-030B02
96,A223 997 0100,A06-040B03
50,A223 540 9840,A06-050B05
25,A297 520 0600,A06-150A01
390,A223 684 4500,A06-280A01
90,A223 860 6301,D12-045A01
12,A223 905 1609,D13-010C02
324,A223 684 2101,D13-050C02
48,A223 682 1901,D13-150B03
82,A223 827 4700,D19-020A01
30,A223 682 3904,D19-020B01
22,A223 680 4700,D35-030B02
6,A223 900 1727,B38-030C01
100,A223 750 4200,D41-025A01
22,A099 810 8500 9197,D42-060A05
320,A223 682 2101,D42-070C03
14,A214 750 3200,D42-070C03
1504,A223 682 7403,D43-050C02
8,A223 860 6100 9C94,D43-060B03
10,A297 682 4700,D43-070B01
22,A223 680 4800,D44-030B02
24,A223 680 4200,D44-050C01
28,A214 820 8200,D07-140C01
30,A223 831 0200 9051,D08-691B02
35,A223 690 5602,D08-730C02
9,A223 540 3113,D08-740B02
49,A223 905 2100,D08-770C04
21,A223 830 6200 2A17,D08-770C05
10,A223 540 6834,D08-780A03
8,A297 690 3900 9051,D05-180A01
6,A223 690 6502 7Q80,D05-690B01
30,A222 868 1739 9051,D05-740B05
21,A223 830 6100 2A17,D05-750C01
30,A223 698 3900,D05-750C02
49,A223 905 2100,D05-760C01
12,A223 950 0000 8U03,D06-010A03
12,A223 950 0100 3F10,D06-030A01
550,A001 997 0544,D06-068A03
10,A223 830 010,D07-100A02
28,A223 900 5936,D07-100C01
28,A223 682 4804,D07-120C01
12,A223 698 7000,B35-650B02
25,A223 690 3800,B35-660C02
55,A297 830 4502,B42-110A01
4,A206 900 9020,B03-040B01
60,A297 832 0800,D03-430C03
25,A297 420 4500,D03-700C03
96,A099 860 0700 8T92,A01-70B03
50,A223 470 7301,A01-070C04
40,A223 501 3501,A01-080B02
50,A297 694 1100 1D03,A01-083B03
140,A223 327 0300,A01-090B02
75,A000 905 1520,A01-120C02
400,A223 545 5902,A01-130B02
30,A297 320 9101,A01-900A01
30,A254 610 5703,A02-050B01
24,A000 506 1500,A02-050C02
50,A223 470 4500,A02-070C01
49,A297 694 1200 1D03,A02-100A01
50,A297 694 1200 9051,A02-110A01
15,A223 501 4402,A02-760A02
56,A000 900 6647,A03-010B02
36,A223 520 3000,A06-020B02
40,A223 528 0000 ,A06-030B02
80,A223 501 4102,A06-040B04
50,A223 540 1953,A06-615A01
38,A223 520 1000,A06-650A01
390,A223 684 4300,A06-905A01
20,A223 885 0700,A07-005A01
14,A223 880 1702,A07-005B02
40,A297 830 2202,D07 730A02
24,A223 820 0206,D07-830A01
40,A297 682 3500,D08-691B01
30,A223 831 0200 9051,D08-691B02
30,A223 698 4000,D08-692A01
30,A223 831 0200 7P82,D08-730A03
40,A223 540 9415,D08-740A02
14,A223 545 5502,D08-770C01
49,A223905 2100,D08-770C04
10,A223 540 6834,D08-780A03
20,A223 831 8200,D09-005A01
18,A223 831 8300,D09-035A01
56,A223 682 5203,D09-065A01
56,A223 682 5303,D09-085A01
73,A223 682 5501,D11-210A01
7,A0223 900 2729,D11-655B01
40,A223 501 8001,D06-020B01
12,A223 950 0100 3F10,D06-030A01
16,A223 868 0400 9051,D06-060B01
32,A223 689 0500 9D53,D06-060C04
60,A223 540 5802,D06-068C04
10,A223 906 6104,D06-100A01
200,A223 471 4900,D06-480A01
6,A223 690 8906 8T92,D07-110A02
50,A223 540 3145,D07-140A01
28,A214 820 8200 ,D07-140C01
25,A223 690 9707,D07-170B04
50,A223 860 1300,D07-250A01
30,A223 970 9101 8W52,B14-090A01
30,A223 970 9301 3F12,B14-090C01
